id,color,title,url,media_id,type_id,year_acquired,year
18406385,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406385/,35371135,35266267,1955,1955
18406727,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406727/,35371135,35266267,1955,1955
18406777,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406777/,35371135,35266267,1955,1955
18402543,939597,"Fragments, 18th century",https://collection.cooperhewitt.org/objects/18402543/,35402927,35254679,1955,1955
18404063,939597,"Textile (Japan), 19th century",https://collection.cooperhewitt.org/objects/18404063/,35463551,35251739,1955,1955
18405749,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405749/,35371135,35266267,1955,1955
18405787,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405787/,35371135,35266267,1955,1955
18405799,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405799/,35371135,35266267,1955,1955
18405807,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405807/,35371135,35266267,1955,1955
18405821,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405821/,35371135,35266267,1955,1955
18405833,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405833/,35371135,35266267,1955,1955
18478861,939597,"Drawing, Rough sketch, room 6, for Uris Hotels, August 3, 1955",https://collection.cooperhewitt.org/objects/18478861/,35379451,35237093,1972,1955
18406705,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406705/,35371135,35266267,1955,1955
18404285,939597,"Fragment (Spain), late 16th-early 17th century",https://collection.cooperhewitt.org/objects/18404285/,35402827,35254623,1955,1955
18404987,939597,Playing Card,https://collection.cooperhewitt.org/objects/18404987/,35371135,35266267,1955,1955
18404999,939597,Playing Card,https://collection.cooperhewitt.org/objects/18404999/,35371135,35266267,1955,1955
18405601,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405601/,35371135,35266267,1955,1955
18405769,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405769/,35371135,35266267,1955,1955
18405771,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405771/,35371135,35266267,1955,1955
18406349,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406349/,35371135,35266267,1955,1955
18402761,939597,Bookpaper,https://collection.cooperhewitt.org/objects/18402761/,35371135,35284885,1955,1955
18405025,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405025/,35371135,35266267,1955,1955
18405171,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405171/,35371135,35266267,1955,1955
18406061,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406061/,35371135,35266267,1955,1955
18406117,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406117/,35371135,35266267,1955,1955
18406383,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406383/,35371135,35266267,1955,1955
18406439,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406439/,35371135,35266267,1955,1955
18406491,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406491/,35371135,35266267,1955,1955
18406775,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406775/,35371135,35266267,1955,1955
18406787,939597,Playing Card,https://collection.cooperhewitt.org/objects/18406787/,35371135,35266267,1955,1955
18478849,939597,"Drawing, Rough Sketch of Room for Uris Hotel, July 21, 1955",https://collection.cooperhewitt.org/objects/18478849/,35519601,35237093,1972,1955
18676335,939597,"Border, Robespierre, 1955",https://collection.cooperhewitt.org/objects/18676335/,35414629,35237285,1998,1955
18404085,939597,"Plate (England), 1753-56",https://collection.cooperhewitt.org/objects/18404085/,35392471,35236833,1955,1955
